COLLISION_ID,crash_datetime,CRASH_YEAR,CRASH_MONTH,CRASH_HOUR,CRASH_WEEKDAY,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,persons_count,persons_injured,persons_killed,PEDESTRIAN,BICYCLIST,MOTORIST,median_age
4819210,2025-06-05 09:30:00,2025,6,9,Thursday,BROOKLYN,11224.0,40.57507,-73.9871,0.0,0.0,Backing Unsafely,Sedan,1.0,0.0,0.0,0.0,0.0,0.0,25.0
3154878,2015-01-18 10:20:00,2015,1,10,Sunday,UNKNOWN,,,,0.0,0.0,Fatigued/Drowsy,PASSENGER VEHICLE,,,,,,,
4494223,2022-01-12 16:00:00,2022,1,16,Wednesday,STATEN ISLAND,10306.0,40.575985,-74.10226,0.0,0.0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,36.0
2809470,2014-10-16 17:15:00,2014,10,17,Thursday,BROOKLYN,11213.0,40.6694023,-73.9421971,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
247302,2012-10-19 16:09:00,2012,10,16,Friday,QUEENS,11354.0,40.7664031,-73.8152918,0.0,0.0,Backing Unsafely,SPORT UTILITY / STATION WAGON,,,,,,,
3169445,2015-02-14 12:17:00,2015,2,12,Saturday,QUEENS,11421.0,40.6947766,-73.847733,0.0,0.0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,,,,,,,
3138025,2014-12-14 09:00:00,2014,12,9,Sunday,QUEENS,11385.0,40.7027868,-73.8570414,0.0,0.0,Unspecified,SPORT UTILITY / STATION WAGON,,,,,,,
4331541,2020-07-23 11:30:00,2020,7,11,Thursday,UNKNOWN,,40.584324,-73.91604,0.0,0.0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,29.5
3689739,2017-06-10 00:20:00,2017,6,0,Saturday,BROOKLYN,11218.0,40.63287,-73.972694,0.0,0.0,Driver Inattention/Distraction,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,38.5
4360022,2020-10-21 08:30:00,2020,10,8,Wednesday,BRONX,10455.0,40.814495,-73.91282,0.0,0.0,Backing Unsafely,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,54.0
3174113,2015-02-23 09:10:00,2015,2,9,Monday,BRONX,10458.0,40.8642161,-73.8957945,0.0,0.0,Fatigued/Drowsy,PASSENGER VEHICLE,,,,,,,
222378,2013-02-07 07:55:00,2013,2,7,Thursday,QUEENS,11428.0,40.7215881,-73.7310118,1.0,0.0,Unspecified,PASSENGER VEHICLE,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2821307,2014-11-08 02:33:00,2014,11,2,Saturday,QUEENS,11420.0,40.6669104,-73.8220088,0.0,0.0,Backing Unsafely,PASSENGER VEHICLE,,,,,,,
256301,2012-12-26 18:55:00,2012,12,18,Wednesday,UNKNOWN,,,,1.0,0.0,Fatigued/Drowsy,SPORT UTILITY / STATION WAGON,1.0,1.0,0.0,0.0,0.0,0.0,37.0
3536732,2016-10-09 21:50:00,2016,10,21,Sunday,QUEENS,11355.0,40.750957,-73.822845,0.0,0.0,Driver Inexperience,Station Wagon/Sport Utility Vehicle,5.0,0.0,0.0,0.0,0.0,0.0,34.0
3385681,2016-02-07 18:15:00,2016,2,18,Sunday,BROOKLYN,11218.0,40.6433056,-73.9740952,0.0,0.0,Turning Improperly,BUS,,,,,,,
277792,2013-10-21 11:00:00,2013,10,11,Monday,UNKNOWN,,,,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
2688,2013-05-17 13:10:00,2013,5,13,Friday,MANHATTAN,10013.0,40.7205573,-74.0035102,0.0,0.0,Unspecified,SPORT UTILITY / STATION WAGON,,,,,,,
2927192,2012-12-15 18:51:00,2012,12,18,Saturday,UNKNOWN,,,,0.0,0.0,Unspecified,SPORT UTILITY / STATION WAGON,,,,,,,
3301203,2015-09-19 16:20:00,2015,9,16,Saturday,UNKNOWN,,40.7340278,-73.8440681,0.0,0.0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,,,,,,,
4343182,2020-08-30 11:00:00,2020,8,11,Sunday,BROOKLYN,11235.0,40.581745,-73.95384,0.0,0.0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,2.0,0.0,0.0,0.0,0.0,0.0,47.0
3665080,2017-05-06 15:50:00,2017,5,15,Saturday,BROOKLYN,11221.0,40.69335,-73.93414,0.0,0.0,Following Too Closely,Sedan,5.0,0.0,0.0,0.0,0.0,0.0,32.0
4835611,2025-08-15 00:00:00,2025,8,0,Friday,QUEENS,11433.0,40.69297,-73.780235,0.0,0.0,Following Too Closely,Sedan,7.0,0.0,0.0,0.0,0.0,0.0,34.0
3388074,2016-02-11 08:25:00,2016,2,8,Thursday,QUEENS,11421.0,40.6892018,-73.8496785,0.0,0.0,Driver Inattention/Distraction,PASSENGER VEHICLE,,,,,,,
4480475,2021-11-21 15:00:00,2021,11,15,Sunday,UNKNOWN,,,,0.0,0.0,Following Too Closely,Station Wagon/Sport Utility Vehicle,5.0,0.0,0.0,0.0,0.0,0.0,23.0
196474,2013-07-22 18:35:00,2013,7,18,Monday,BROOKLYN,11211.0,40.7059119,-73.951085,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
